"NFL","NFL68","bias"
"102","77","1"
"106","94","51"
"186","157","74"
"145","123","76"
"164","157","154"
"502","467","139"
"108","56","195"
"663","458","88"
"302","247","159"
"391","373","559"
"256","71","-450"
"404","370","35"
"143","18","-1135"
"371","354","592"
"143","123","-874"
"1169","223","-102"
"1282","434","11"
"466","147","40"
"221","22","29"
"266","233","-66"
"106","77","-144"
"102","80","-107"
"106","84","-28"
"192","20","-107"
"290","77","-104"
"120","109","-9982"
"369","329","231"
"232","211","290"
"460","370","-1059"
"145","131","-504"
"204","32","49"
"292","240","-6"
"125","82","172"
"117","91","-67"
"158","100","-22"
"255","225","-14"
"281","252","27"
"144","60","-59395"
"117","95","-12"
"181","143","-8"
"366","342","-242"
"228","188","-22"
"293","35","39"
"185","161","21"
"545","316","389"
"217","197","35"
"161","154","-590"
"298","28","-115"
"179","65","56"
"175","154","-66"
"166","32","-31"
"152","129","-18"
"140","117","-49"
"208","165","-391"
"1265","1017","-678"
"126","90","-208"
"261","232","-23"
"143","119","-3"
"281","39","7"
"165","98","-35660"
"166","44","18"
"940","392","-30"
"164","148","159"
"588","337","-44"
"792","427","101"
"216","181","-68"
"191","169","-263"
"223","18","-108"
"614","501","633"
"139","101","-11"
"144","127","3"
"316","273","12"
"425","221","-49825"
"166","105","18"
"223","184","-96"
"179","148","-32"
"119","84","-42"
"231","200","49"
"233","218","380"
"104","94","112"
"143","131","-181"
"112","91","-23"
"308","44","-4"
"241","209","-435"
"149","137","-87"
"100","81","-4"
"143","122","-2"
"182","166","655"
"142","120","-82"
"440","326","9"
"165","138","-57"
"196","69","-243"
"365","291","419"
"230","71","-23"
"136","121","-71"
"280","161","-46"
"331","68","-1"
"327","295","-19"
"117","12","26"
"176","154","39"
"590","524","1500"
"107","90","-33"
"121","97","-373"
"214","174","-54"
"502","100","50921"
"171","46","-373"
"165","146","-18"
"112","89","-79"
"117","90","-27"
"170","16","70"
"309","172","310"
"229","218","605"
"246","237","525"
"165","136","-57"
"473","409","41"
"271","59","487"
"203","192","-412"
"192","164","65"
"600","221","512"
"115","98","-265"
"231","225","169"
"103","89","61"
"763","570","-33"
"122","65","-63517"
"244","203","7"
"772","739","-454"
"155","27","-62"
"366","92","-23"
"286","26","-24"
"943","462","-23"
"281","41","-64"
"195","186","-57"
"174","134","-47"
"417","60","-17"
"331","108","-78"
"192","165","-18"
"209","156","-2"
"496","383","-538"
"245","219","116"
"117","90","-18"
"228","202","-342"
"250","227","-459"
"187","153","45"
"240","226","-33"
"202","176","-26"
"153","136","-330"
"100","86","31"
"368","343","-217"
"158","135","-35"
"311","298","52"
"447","191","96"
"127","121","73"
"250","28","-180"
"239","217","-124"
"247","214","-363"
"374","191","85"
"100","12","-97"
"216","190","153"
"249","197","22"
"571","160","-266"
"377","82","-260"
"582","156","1"
"250","218","25"
"106","74","-66"
"295","261","13"
"386","48","119"
"222","193","-14"
"293","238","6"
"229","21","66"
"239","207","6"
"209","180","-21"
"110","94","-24"
"197","166","-11"
"237","210","-8"
"121","64","118"
"145","127","-130"
"384","32","-22"
"448","401","-30"
"225","195","78"
"234","220","-155"
"209","25","-52"
"226","29","-40"
"144","68","-82"
"320","274","55"
"207","43","-11"
"197","119","20"
"165","17","1"
"116","108","55"
"136","116","-289"
"198","172","-462"
"354","333","437"
"457","52","197"
"342","323","-1502"
"116","96","-138"
"213","201","-227"
"1092","555","151"
"351","329","40"
"211","43","40"
"165","155","-106"
"111","105","-774"
"103","86","-136"
"258","225","3"
"206","169","53"
"281","235","-50"
"191","162","-22"
"205","191","-415"
"172","18","24"
"167","140","-197"
"160","153","176"
"106","89","-8"
"2100","783","40"
"207","171","42"
"114","95","9"
"101","66","-185"
"169","133","-56"
"291","69","34"
"135","99","-2"
"198","194","586"
"130","115","-934"
"241","231","96"
"232","167","1342"
"129","23","24"
"1293","626","4"
"229","22","44"
"105","25","-14"
"1439","1152","2237"
"136","101","-8"
"421","58","-5"
"106","88","-10"
"305","264","-285"
"546","83","2"
"180","50","-12"
"1003","647","-18"
"105","79","-39"
"196","174","1930"
"250","213","41"
"154","140","47"
"533","473","14"
"439","92","-9"
"141","112","-10"
"1105","715","70"
"311","84","-576"
"158","122","-141"
"239","211","70"
"184","162","-188"
"173","165","-59"
"117","97","-19"
"247","220","-47"
"162","129","-20"
"396","94","41"
"198","165","-157"
"103","101","-62324"
"145","134","-29"
"112","87","-22"
"318","310","12"
"220","195","215"
"221","194","-102"
"122","77","-27"
"216","71","536"
"296","276","34"
"116","86","-55"
"315","287","-112"
"105","78","114"
"391","335","14"
"230","218","-256"
"611","588","169"
"333","318","432"
"114","98","-67"
"145","27","31"
"933","584","45"
"386","361","243"
"289","248","-20"
"796","771","121"
"104","73","-5"
"318","308","528"
"169","154","164"
"311","152","446"
"252","44","111"
"117","108","-302"
"993","568","66"
"520","197","46"
"204","188","-33"
"376","345","292"
"1188","211","131"
"518","479","-28"
"451","64","-37"
"874","522","-1278"
"761","313","-31"
"255","237","-758"
"462","428","1176"
"145","134","45"
"245","214","270"
"378","265","-33"
"173","144","-64"
"700","344","5"
"237","223","18"
"143","36","-65"
"149","123","-182"
"331","22","1"
"275","150","81"
"1224","511","-49"
"372","335","403"
"531","432","-113"
"395","139","53"
"212","205","-1627"
"113","108","9"
"487","436","974"
"603","76","-2"
"412","393","601"
"420","157","-33"
"722","713","-227"
"494","99","-28"
"147","117","-67"
"197","40","62"
"345","233","180"
"124","116","12"
"418","377","79"
"630","114","4398"
"188","169","51"
"551","302","-80"
"3280","2820","594"
"206","143","-38191"
"309","11","-57"
"233","68","12"
"148","118","21"
"307","267","-32"
"167","146","-44"
"113","72","-62533"
"243","29","207"
"393","383","-423"
"103","86","32"
"282","234","132"
"407","41","-116"
"389","360","1125"
"146","114","-5"
"330","299","-140"
"197","123","17"
"346","39","222"
"216","175","-11"
"2218","484","3837"
"443","224","92"
"1053","392","-16"
"265","237","63"
"516","490","5"
"239","225","507"
"110","102","-42"
"127","102","73"
"175","149","508"
"107","86","-31"
"255","150","2062"
"142","119","-14"
"134","104","-187"
"245","35","21"
"106","89","-81"
"117","88","-95"
"326","269","177"
"800","638","172"
"223","192","-275"
"711","377","68"
"223","183","-26"
"532","218","10"
"251","216","3"
"100","78","-14"
"193","173","-65"
"334","42","-7"
"263","24","-13"
"515","86","72"
"104","84","31"
"192","163","121"
"141","116","36"
"817","519","187"
"173","140","55"
"109","64","42"
"362","34","65"
"885","548","60"
"102","91","-43"
"276","239","11"
"686","398","-36"
